target_id,fb_ad_account_id,start,end,main_age,main_gender,avoid_age,avoid_gender,theme_color
16,act_2031096637697309,2025-11-27,2026-04-12,35-44;45-54,female,18-24,,#345B95
10,act_1174056261489279,2025-10-06,2026-04-19,25-34;35-44,female,,male,#080F2A
8,act_1358317995522216,2025-10-31,2026-06-01,35-44;45-54,,65+,,#0076BD
12,act_1008886398030550,2025-10-29,2026-06-07,18-24;25-34,female,,,#000000
18,act_434227940322781,2025-12-29,2026-06-30,35-44;45-54,female,,,#FF5600
21,act_1622583648427159,2025-12-29,2026-07-07,25-34;35-44,,,,#1D72FF
24,act_1935612250727029,2026-02-06,2026-06-14,25-34;35-44,,,,#3E2753
25,act_4260950964221595,2026-01-26,2026-06-30,25-34;35-44,,,,#FF4C0A
19,act_2090736321329024,2026-01-08,2026-06-30,35-44,male,65+,,#201810
22,act_1405475181306250,2025-12-29,2026-06-30,25-34;35-44,,,,#1C57AD
23,act_629591912653973,2026-01-12,2026-06-30,25-34;35-44,male,,,#1A1A1A
14,act_799496024940107,2025-11-18,2026-06-30,18-24;25-34,,,,#081F2C
26,act_1604805657389742,2024-02-15,2026-06-30,35-44;45-54,male,,,#000000
27,act_1422106645573590,2026-03-16,2026-06-30,35-44,female,,male,#128F9A
31,act_1205846071749855,2026-04-06,2026-06-30,35-44;45-54,female,,,#182548
36,act_1059498258219045,2026-04-06,2026-06-30,35-44,,,,#12483D
32,act_1002942846241389,2026-04-13,2026-06-30,25-34;35-44,male,,female,#737E89
41,act_2142172949658464,2026-04-30,2026-06-30,25-34,female,45-54;55-64;65+,,#651F2A
38,act_881783084921192,2026-05-14,2026-06-30,25-34;35-44;45-54,female,,,#000000
39,act_945284817907415,2026-05-13,2026-06-30,25-34;35-44,female,,,#C9A67F
